roll=-165.55 pitch=47.78 yaw=1.99
roll=-165.56 pitch=47.78 yaw=1.99
roll=-165.55 pitch=47.78 yaw=1.98
roll=-165.55 pitch=47.78 yaw=1.99
roll=-165.55 pitch=47.78 yaw=1.99
roll=-165.55 pitch=47.78 yaw=1.99
roll=-165.55 pitch=47.78 yaw=1.99
roll=-165.55 pitch=47.78 yaw=1.99
roll=-165.55 pitch=47.77 yaw=1.99
roll=-165.55 pitch=47.77 yaw=1.99
roll=-165.55 pitch=47.77 yaw=1.99
roll=-165.55 pitch=47.77 yaw=2
roll=-165.54 pitch=47.77 yaw=1.99
roll=-165.54 pitch=47.77 yaw=1.99
roll=-165.53 pitch=47.77 yaw=2
roll=-165.53 pitch=47.77 yaw=1.99
roll=-165.52 pitch=47.78 yaw=1.99
roll=-165.52 pitch=47.78 yaw=2
roll=-165.52 pitch=47.78 yaw=2
roll=-165.52 pitch=47.78 yaw=1.99
roll=-165.52 pitch=47.78 yaw=2
roll=-165.52 pitch=47.78 yaw=2
roll=-165.52 pitch=47.78 yaw=1.99
roll=-165.51 pitch=47.78 yaw=1.99
roll=-165.52 pitch=47.78 yaw=2
roll=-165.52 pitch=47.78 yaw=2
roll=-165.51 pitch=47.78 yaw=1.99
roll=-165.51 pitch=47.78 yaw=2
roll=-165.51 pitch=47.78 yaw=2
roll=-165.51 pitch=47.78 yaw=1.99
roll=-165.5 pitch=47.78 yaw=2
roll=-165.5 pitch=47.78 yaw=2
roll=-165.51 pitch=47.78 yaw=2
roll=-165.5 pitch=47.78 yaw=2
roll=-165.51 pitch=47.78 yaw=2
roll=-165.51 pitch=47.78 yaw=2
roll=-165.51 pitch=47.78 yaw=1.99
roll=-165.51 pitch=47.77 yaw=2
roll=-165.51 pitch=47.77 yaw=2
roll=-165.52 pitch=47.77 yaw=2
roll=-165.52 pitch=47.77 yaw=2
roll=-165.52 pitch=47.77 yaw=2
roll=-165.52 pitch=47.77 yaw=2
roll=-165.51 pitch=47.77 yaw=1.99
roll=-165.51 pitch=47.77 yaw=2
roll=-165.5 pitch=47.77 yaw=2
roll=-165.5 pitch=47.77 yaw=2
roll=-165.49 pitch=47.77 yaw=2
roll=-165.49 pitch=47.77 yaw=2
roll=-165.49 pitch=47.77 yaw=2
roll=-165.48 pitch=47.77 yaw=2
roll=-165.48 pitch=47.77 yaw=2
roll=-165.49 pitch=47.78 yaw=2
roll=-165.49 pitch=47.78 yaw=2
roll=-165.48 pitch=47.78 yaw=2
roll=-165.48 pitch=47.78 yaw=2.01
roll=-165.48 pitch=47.78 yaw=2
roll=-165.48 pitch=47.78 yaw=2
roll=-165.47 pitch=47.78 yaw=2.01
roll=-165.47 pitch=47.78 yaw=2
roll=-165.47 pitch=47.78 yaw=2
roll=-165.46 pitch=47.78 yaw=2.01
roll=-165.46 pitch=47.77 yaw=2.01
roll=-165.45 pitch=47.77 yaw=2
roll=-165.44 pitch=47.78 yaw=2
roll=-165.44 pitch=47.78 yaw=2.01
roll=-165.44 pitch=47.78 yaw=2.01
roll=-165.44 pitch=47.78 yaw=2
roll=-165.44 pitch=47.78 yaw=2.01
roll=-165.44 pitch=47.78 yaw=2.01
roll=-165.44 pitch=47.78 yaw=2
roll=-165.44 pitch=47.78 yaw=2
roll=-165.43 pitch=47.78 yaw=2.01
roll=-165.43 pitch=47.78 yaw=2.01
roll=-165.43 pitch=47.79 yaw=2
roll=-165.42 pitch=47.79 yaw=2.01
roll=-165.42 pitch=47.79 yaw=2.01
roll=-165.42 pitch=47.8 yaw=2
roll=-165.42 pitch=47.8 yaw=2.01
roll=-165.42 pitch=47.8 yaw=2.01
roll=-165.42 pitch=47.8 yaw=2.01
roll=-165.42 pitch=47.8 yaw=2.01
roll=-165.42 pitch=47.8 yaw=2.01
roll=-165.43 pitch=47.8 yaw=2.01
roll=-165.42 pitch=47.8 yaw=2
roll=-165.42 pitch=47.8 yaw=2.01
roll=-165.42 pitch=47.81 yaw=2.01
roll=-165.42 pitch=47.81 yaw=2.01
roll=-165.42 pitch=47.81 yaw=2.01
roll=-165.42 pitch=47.81 yaw=2.01
roll=-165.42 pitch=47.81 yaw=2.01
roll=-165.42 pitch=47.81 yaw=2.01
roll=-165.41 pitch=47.8 yaw=2.01
roll=-165.41 pitch=47.8 yaw=2.01
roll=-165.41 pitch=47.8 yaw=2.01
roll=-165.41 pitch=47.8 yaw=2.01
roll=-165.41 pitch=47.8 yaw=2.02
roll=-165.41 pitch=47.8 yaw=2.01
roll=-165.41 pitch=47.81 yaw=2.01
roll=-165.41 pitch=47.81 yaw=2.02
roll=-165.41 pitch=47.81 yaw=2.02
roll=-165.42 pitch=47.81 yaw=2.01
roll=-165.42 pitch=47.8 yaw=2.02
roll=-165.42 pitch=47.8 yaw=2.02
roll=-165.42 pitch=47.81 yaw=2.01
roll=-165.41 pitch=47.8 yaw=2.01
roll=-165.42 pitch=47.8 yaw=2.02
roll=-165.42 pitch=47.8 yaw=2.01
roll=-165.41 pitch=47.8 yaw=2.01
roll=-165.41 pitch=47.8 yaw=2.02
roll=-165.42 pitch=47.8 yaw=2.02
roll=-165.42 pitch=47.8 yaw=2.01
roll=-165.42 pitch=47.79 yaw=2.02
roll=-165.42 pitch=47.79 yaw=2.02
roll=-165.42 pitch=47.8 yaw=2.01
roll=-165.42 pitch=47.8 yaw=2.01
roll=-165.42 pitch=47.79 yaw=2.02
roll=-165.42 pitch=47.8 yaw=2.02
roll=-165.41 pitch=47.8 yaw=2.01
roll=-165.41 pitch=47.79 yaw=2.02
roll=-165.41 pitch=47.79 yaw=2.02
roll=-165.41 pitch=47.79 yaw=2.02
roll=-165.41 pitch=47.79 yaw=2.02
roll=-165.41 pitch=47.79 yaw=2.03
roll=-165.41 pitch=47.79 yaw=2.02
roll=-165.41 pitch=47.79 yaw=2.02
roll=-165.41 pitch=47.78 yaw=2.03
roll=-165.41 pitch=47.78 yaw=2.03
roll=-165.41 pitch=47.78 yaw=2.02
roll=-165.41 pitch=47.78 yaw=2.02
roll=-165.41 pitch=47.78 yaw=2.03
roll=-165.41 pitch=47.78 yaw=2.02
roll=-165.41 pitch=47.78 yaw=2.02
roll=-165.41 pitch=47.78 yaw=2.03
roll=-165.41 pitch=47.78 yaw=2.03
roll=-165.41 pitch=47.78 yaw=2.02
roll=-165.41 pitch=47.78 yaw=2.03
roll=-165.41 pitch=47.78 yaw=2.03
roll=-165.41 pitch=47.78 yaw=2.02
roll=-165.41 pitch=47.78 yaw=2.03
roll=-165.41 pitch=47.78 yaw=2.03
roll=-165.41 pitch=47.78 yaw=2.03
roll=-165.42 pitch=47.78 yaw=2.03
roll=-165.42 pitch=47.78 yaw=2.03
roll=-165.42 pitch=47.78 yaw=2.03
roll=-165.43 pitch=47.78 yaw=2.03
roll=-165.43 pitch=47.78 yaw=2.03
roll=-165.43 pitch=47.78 yaw=2.04
roll=-165.43 pitch=47.78 yaw=2.03
roll=-165.43 pitch=47.78 yaw=2.03
roll=-165.43 pitch=47.78 yaw=2.04
roll=-165.43 pitch=47.78 yaw=2.04
roll=-165.42 pitch=47.78 yaw=2.03
roll=-165.42 pitch=47.78 yaw=2.04
roll=-165.42 pitch=47.77 yaw=2.04
roll=-165.42 pitch=47.77 yaw=2.04
roll=-165.42 pitch=47.77 yaw=2.04
roll=-165.42 pitch=47.77 yaw=2.05
roll=-165.43 pitch=47.76 yaw=2.04
roll=-165.42 pitch=47.76 yaw=2.04
roll=-165.42 pitch=47.76 yaw=2.04
roll=-165.43 pitch=47.76 yaw=2.05
roll=-165.43 pitch=47.76 yaw=2.04
roll=-165.43 pitch=47.75 yaw=2.04
roll=-165.43 pitch=47.75 yaw=2.05
roll=-165.44 pitch=47.75 yaw=2.05
roll=-165.44 pitch=47.75 yaw=2.04
roll=-165.44 pitch=47.75 yaw=2.05
roll=-165.44 pitch=47.75 yaw=2.05
roll=-165.44 pitch=47.75 yaw=2.05
roll=-165.44 pitch=47.75 yaw=2.05
roll=-165.44 pitch=47.75 yaw=2.05
roll=-165.44 pitch=47.75 yaw=2.05
roll=-165.44 pitch=47.76 yaw=2.05
roll=-165.44 pitch=47.76 yaw=2.06
roll=-165.45 pitch=47.76 yaw=2.05
roll=-165.45 pitch=47.76 yaw=2.05
roll=-165.45 pitch=47.75 yaw=2.06
roll=-165.46 pitch=47.75 yaw=2.06
